use_case_id,name,sponsor,process_owner,business_card_link,value_netbenefit,value_netbenefit_grade,value_strategicfit,value_strategicfit_grade,value_mission,value_mission_grade,value_reuse,value_reuse_grade,feas_data,feas_data_grade,feas_complexity,feas_complexity_grade,feas_workflow,feas_workflow_grade,feas_sponsorship,feas_sponsorship_grade,ctrl_regulatory,ctrl_regulatory_grade,ctrl_oversight,ctrl_oversight_grade,ctrl_assurance,ctrl_assurance_grade,ctrl_residual,ctrl_residual_grade,is_enabler,depends_on,capacity_units,notes
UC01,AI-Assisted Radiology Triage for Urgent Referrals,Clinical Director (Imaging) [synthetic],Head of Radiology Operations,BC-0091 (synthetic),5,B,5,A,4,B,2,C,3,B,2,C,2,C,4,B,5,A,5,A,5,B,5,B,false,UC02,3,High value and maximum control burden — the case a two-axis model over-ranks.
UC02,Clinical Data and Imaging Platform,Chief Digital Officer,Head of Data Engineering,BC-0092 (synthetic),2,C,4,B,2,D,5,A,3,B,2,C,3,C,4,A,2,B,1,B,2,B,2,B,true,,4,Foundational platform enabler; unblocks UC01, UC04 and UC09.
UC03,Ad-hoc Executive Reporting Assistant,Chief of Staff,PMO Lead,BC-0093 (synthetic),1,D,2,D,1,E,2,C,3,C,4,C,4,C,2,C,1,C,1,C,1,C,1,C,true,,1,Low standalone value; no downstream dependants identified.
UC04,Discharge Summary Drafting Assistant,Head of Patient Flow,Ward Nursing Lead,BC-0094 (synthetic),4,B,4,B,3,C,3,C,4,B,3,B,3,B,4,B,2,B,3,B,2,B,2,B,false,UC02,2,Solid moderate-burden candidate.
UC05,Patient Appointment No-show Predictor,Head of Outpatient Services,Scheduling Operations Lead,BC-0095 (synthetic),3,A,3,A,3,B,3,B,4,A,4,A,4,B,3,B,2,A,2,A,2,B,2,B,false,,1,Near-identical deterministic composite to UC06 but scored almost entirely on Grade A/B evidence.
UC06,Bed Capacity Forecasting Tool,Director of Operations,Patient Flow Analyst Lead,BC-0096 (synthetic),3,C,3,D,3,D,3,C,4,C,4,D,4,D,3,C,2,C,2,D,2,D,2,C,false,,1,Near-identical deterministic composite to UC05 but scored on materially weaker evidence.
UC07,General Patient FAQ Chatbot,Head of Patient Experience,Contact Centre Lead,BC-0097 (synthetic),2,C,2,C,2,C,2,C,4,B,4,B,5,B,3,C,2,B,1,B,1,B,1,B,false,,1,Workflow change burden score of 5 (minimal change) read as a warning on Axis 1, not a strength.
UC08,AI-Assisted Clinical Coding for Documentation,Head of Health Information Management,Clinical Coding Manager,BC-0098 (synthetic),4,B,3,B,2,C,3,B,3,B,3,B,3,B,3,B,2,B,2,B,2,B,2,B,false,UC02,2,Depends on the clinical data platform (UC02).
UC09,Predictive Staffing Model,Director of Workforce,Rostering Lead,BC-0099 (synthetic),3,C,3,C,2,C,3,C,3,C,3,C,3,C,3,C,2,C,2,C,2,C,2,C,false,UC02,2,Third candidate depending on the UC02 platform enabler.
UC10,Sepsis Early-Warning Model,Clinical Director (Critical Care) [synthetic],Deputy Head of Nursing ICU,BC-0100 (synthetic),5,E,4,E,4,D,3,E,2,D,2,D,2,D,3,C,4,C,4,C,3,C,4,D,false,,1,Promising concept; value evidence is vendor-claim only. Discovery sprint only, not build.
UC11,Automated Prior-Authorisation Decisioning,Director of Payer Relations,Utilisation Management Lead,BC-0101 (synthetic),4,B,3,B,2,C,2,C,3,B,3,B,2,B,3,B,4,B,4,B,3,B,3,B,false,UC12,2,Depends on the legacy extraction utility (UC12); proceed only once UC12 is robustly prioritised.
UC12,Legacy System Data Extraction Utility,IT Operations Manager,Integration Lead,BC-0102 (synthetic),1,C,1,C,1,D,2,C,2,C,2,C,3,C,2,C,2,C,1,C,1,C,1,C,false,,1,Low value and low priority; UC11's dependency on this is unmet until it is itself prioritised.
