system_id,name,description,purpose,business_owner,technical_owner,system_type,provenance,decision_role,affects_people,data_categories,lifecycle_status,discovery_source,date_registered,risk_tier,tier_date,tier_ruleset_version,process_owner,vendor,underlying_model,model_provenance,human_oversight_model,autonomy_level,decision_weight,volume,systems_integrated,depends_on,data_residency,monitoring_in_place,last_reviewed,next_review_due,regimes_in_scope,classification_per_regime,organisational_role,registration_required,registration_reference,registration_date,lawful_basis,impact_assessment_ref,impact_assessment_date,transparency_disclosure,contestability_route,retention_and_logging,conformity_evidence_ref,substantial_modification_log
AIR-0001,CRM lead scoring,Scores inbound sales leads inside the CRM to prioritise follow-up,Rank leads for the sales team to work in order,"R. Osei, Head of Sales Operations","M. Fenwick, Sales Systems Admin",embedded_saas_ai,embedded_feature,informs,external_individuals,contact details; engagement history,in_use,saas_admin_sweep,2026-05-12,T1,2026-05-20,1.0.0,,,,,,,,,,,,,2026-06-01,2026-07-01,,,,,,,,,,,,,,
AIR-0002,HR candidate ranking,Ranks job applicants inside the recruitment platform before shortlisting,Order applicants so recruiters review the strongest first,"D. Marchetti, Head of Talent Acquisition","P. Singh, HRIS Administrator",embedded_saas_ai,embedded_feature,supports_determinative,external_individuals,CV content; employment history; personal identifiers,in_use,saas_admin_sweep,2026-05-12,T3,2026-06-02,1.0.0,"D. Marchetti, Head of Talent Acquisition",Talent platform vendor (embedded ranking feature),Vendor proprietary scoring model,embedded_unknown,on_the_loop,2,4,approximately 3000 applications per month,,AIR-0011,"EU region, vendor-hosted",none,2026-06-10,2026-09-10,,,,,,,,,,,,,,
AIR-0003,Grant application scoring workbook,Spreadsheet model that scores grant applications against published criteria,Determine which applications proceed to funding,"J. Okoye, Head of Grants","J. Okoye, Head of Grants",spreadsheet_model,built_in_house,makes,external_individuals,applicant details; financial information,in_use,declared_by_team,2026-04-03,T3,2026-04-15,1.0.0,"J. Okoye, Head of Grants",in-house,Deterministic weighted scoring formula,in_house,none,3,5,approximately 400 applications per funding round,,,"Corporate file share, single jurisdiction",none,2026-05-01,2026-11-01,,,,,,,,,,,,,,
AIR-0004,Meeting notetaker extension,Browser extension that transcribes and summarises meetings,Produce a recap for the meeting organiser,"H. Lindqvist, Head of Workplace Technology","H. Lindqvist, Head of Workplace Technology",browser_extension,agent_or_extension,no_decision,internal_staff,meeting audio and transcript; participant names,in_use,endpoint_browser,2026-06-20,T1,2026-06-25,1.0.0,,,,,,,,,,,,,2026-07-01,2027-07-01,,,,,,,,,,,,,,
AIR-0005,Claims triage scorer,Scores inbound claims for fast-track eligibility,Route claims to fast-track or manual review,"A. Rahman, Head of Claims","S. Okafor, Data Engineering",predictive_model,built_in_house,supports_genuine,external_individuals,claim history; personal identifiers,in_use,intake_process,2026-03-01,T2,2026-03-20,1.0.0,"A. Rahman, Head of Claims",in-house,Gradient-boosted classifier v3,in_house,in_the_loop,2,3,approximately 12000 claims per month,,AIR-0011,"Single jurisdiction, in-house data centre",none,2026-06-15,2026-09-15,,,,,,,,,,,,,,
AIR-0006,Benefit eligibility rules engine,Applies a fixed decision table to determine benefit eligibility,"Approve, refer or decline benefit applications","T. Whitfield, Head of Benefits Administration","R. Iyer, Eligibility Systems Lead",rules_engine,built_in_house,makes,external_individuals,income and household data; eligibility category,in_use,intake_process,2026-02-10,T3,2026-02-25,1.0.0,"T. Whitfield, Head of Benefits Administration",in-house,"Deterministic decision table, no machine learning",in_house,none,3,5,approximately 40000 applications per year,,,"Single jurisdiction, in-house data centre",performance,2026-05-25,2027-02-25,,,,,,,,,,,,,,
AIR-0007,IDE code completion,Suggests and completes code in developer IDEs,Speed up routine code authoring,"F. Novak, Head of Engineering","F. Novak, Head of Engineering",coding_assistant,bought_standalone,informs,no,source code,in_use,identity_oauth,2026-04-18,T1,2026-04-22,1.0.0,,,,,,,,,,,,,2026-05-01,2027-05-01,,,,,,,,,,,,,,
AIR-0008,Procurement purchase order agent,Drafts and issues purchase orders below a delegated authority threshold,Issue routine purchase orders against the approved supplier catalogue,"N. Bergstrom, Head of Procurement","N. Bergstrom, Head of Procurement",agent,built_in_house,makes,no,supplier catalogue data; purchase order records,in_use,intake_process,2026-07-01,T3,2026-07-10,1.0.0,"N. Bergstrom, Head of Procurement","in-house, third-party foundation model","Third-party foundation model, tool-calling",commercial_api,on_the_loop,5,4,approximately 800 purchase orders per month,Procurement platform; supplier catalogue API,AIR-0011,Cloud region per foundation model provider,drift_and_subgroup,2026-08-01,2026-09-01,,,,,,,,,,,,,,
AIR-0009,Developer laptop MCP database server,MCP server on a developer laptop exposing a production database to a local agent,Give a local coding agent read access to schema and sample data,"F. Novak, Head of Engineering","K. Andresen, Platform Engineer",mcp_server,agent_or_extension,no_decision,no,database schema; sample production records,in_use,local_agentic_sweep,2026-08-05,T2,2026-08-12,1.0.0,"F. Novak, Head of Engineering",in-house,"n/a, exposes data and tools, not a model",in_house,on_the_loop,2,1,"unknown, ad hoc developer usage",,,Local developer device,none,2026-08-12,2026-11-12,,,,,,,,,,,,,,
AIR-0010,Marketing free-tier chatbot,Free-tier conversational tool used by the marketing team to draft copy,Draft marketing copy and campaign ideas,"C. Delacroix, Head of Marketing","C. Delacroix, Head of Marketing",genai_assistant,accessed_free_tier,informs,no,campaign briefs; draft marketing copy,in_trial,amnesty,2026-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR-0011,Shared document embedding pipeline,Converts documents into vector embeddings for downstream retrieval and scoring components,Provide shared retrieval infrastructure to other systems,"L. Petrova, Head of Data Platform","K. Andresen, Platform Engineer",vector_store_rag,built_in_house,no_decision,no,document text; embeddings,in_use,intake_process,2026-01-15,,,,,,,,,,,,,,"Single jurisdiction, in-house data centre",,,,,,,,,,,,,,,,,
AIR-0012,Customer policy chatbot,Answers customer questions about policy terms and coverage,Answer routine policy questions without a human agent,"A. Rahman, Head of Claims","S. Okafor, Data Engineering",genai_assistant,bought_standalone,informs,external_individuals,policy documents; customer enquiry text,in_use,declared_by_team,2026-05-30,T2,2026-06-05,1.0.0,"A. Rahman, Head of Claims",Conversational AI platform vendor,Third-party foundation model,commercial_api,human_decides,1,2,approximately 9000 conversations per month,,AIR-0011,"Vendor-hosted, contracted region",performance,2026-07-01,2026-10-01,,,,,,,,,,,,,,
